combination,stage,model,release,load_s,gen_s,gpu_peak_alloc_gb,gpu_peak_reserved_gb,proc_rss_gb,output,floor_pct,wall_pct,plane_residual_cm,resolution
sam3,segmentation,SAM 3,2025-11,9.327,12.959,5.432,7.476,11.67,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\black_tile_flooring_sam3_render\mask_floor.png,37.0,14.5,,"scores floor=[0.9829999804496765] wall=[0.8930000066757202, 0.7400000095367432, 0.8339999914169312]"
shared,geometry,MoGe-2 ViT-L,2025-07,3.18,4.41,2.784,3.097,7.945,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\black_tile_flooring_sam3_render\geometry.npz,,,,
sam3,illumination (RGB->X),RGB->X irradiance,2024-05,3.739,10.175,3.898,5.077,11.339,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\black_tile_flooring_sam3_render\illum_rgbx_map.png,,,,"768x768, 10 steps, linear in / decoded out"
sam3,render (plane fit + tiling),plane fit + projection (CPU),-,0.0,0.362,0.159,1.86,8.333,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\black_tile_flooring_sam3_render\render_shaded_rgbx.png,,,0.28,
