combination,stage,model,release,load_s,gen_s,gpu_peak_alloc_gb,gpu_peak_reserved_gb,proc_rss_gb,output,floor_pct,wall_pct,plane_residual_cm,resolution
sam3,segmentation,SAM 3,2025-11,8.861,11.885,5.434,7.476,11.682,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\scene_sam3_render\mask_floor.png,46.6,15.6,,scores floor=[0.9900000095367432] wall=[0.9549999833106995]
shared,geometry,MoGe-2 ViT-L,2025-07,3.056,3.883,2.788,2.961,7.958,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\scene_sam3_render\geometry.npz,,,,
sam3,illumination (RGB->X),RGB->X irradiance,2024-05,3.671,13.7,4.779,6.577,12.74,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\scene_sam3_render\illum_rgbx_map.png,,,,"768x1360, 10 steps, linear in / decoded out"
sam3,render (plane fit + tiling),plane fit + projection (CPU),-,0.0,0.487,0.159,1.86,8.238,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\scene_sam3_render\render_shaded_rgbx.png,,,0.21,
